id_empleado,nombre,apellido,genero,empresa,programa,area,puesto,educacion,provincia,ciudad,tipo_contrato,salario,rendimiento,horas_extra,fecha_ingreso,fecha_nacimiento,fecha_baja
EMP-0024,Facundo,Flores,Masculino,OLGA,Sería Increíble,Contenido,Redactor,Universitario completo,Mendoza,Mendoza,Freelance,2397077,Excelente,Sí,2026-03-16,1969-08-07,
EMP-0025,Lara,Alvarez,Femenino,LuzuTV,Se Fue Larga,Edición,Editor de Video,Terciario,Mendoza,Mendoza,Part Time,2341160,Muy Bueno,No,2021-04-18,1973-08-06,2024-02-13
EMP-0026,Facundo,Juarez,Femenino,LuzuTV,Corporativo,Comercial,Analista Comercial,Universitario completo,Santa Fe,Santa Fe,Full Time,2322487,Muy Bueno,Sí,2020-04-06,1986-08-03,
EMP-0027,Lourdes,Vazquez,Femenino,OLGA,Corporativo,Recursos Humanos,Analista RRHH,Universitario completo,Buenos Aires,Quilmes,Full Time,2698517,Excelente,Sí,2021-04-11,1968-08-07,
EMP-0028,Nicolas,Herrera,Femenino,LuzuTV,Corporativo,Comercial,Ejecutivo Comercial,Universitario completo,Buenos Aires,Vicente López,Full Time,2399703,Necesita mejorar,Sí,2020-11-03,1972-08-06,
EMP-0029,Thiago Benjamin,Rodriguez,Femenino,LuzuTV,Nadie Dice Nada,Producción,Productor Ejecutivo,Posgrado,Santa Fe,Santa Fe,Freelance,3688117,Muy Bueno,No,2020-03-17,1973-08-06,
EMP-0030,Maria Paz,Lopez,Femenino,OLGA,Corporativo,Marketing,Social Media Manager,Universitario completo,Mendoza,Mendoza,Freelance,2846175,Muy Bueno,No,2021-07-18,1998-07-31,2022-09-26
EMP-0031,Joaquín,Garcia,Masculino,LuzuTV,Antes Que Nadie,Producción,Asistente de Producción,Universitario en curso,Córdoba,Córdoba,Full Time,1652823,Satisfactorio,No,2021-12-24,1983-08-04,
EMP-0032,Zoe Valentina,Diaz,Masculino,OLGA,Corporativo,Administración,Analista Administrativo,Universitario completo,Córdoba,Córdoba,Full Time,2010758,Satisfactorio,No,2021-07-12,2002-07-30,
EMP-0033,Ian Benjamin,Godoy,Femenino,LuzuTV,Corporativo,Finanzas,Analista Financiero,Universitario completo,Mendoza,Mendoza,Full Time,2561723,Satisfactorio,Sí,2021-12-24,1987-08-03,
EMP-0034,Santiago,Martinez,Femenino,OLGA,Sería Increíble,Producción,Asistente de Producción,Universitario en curso,Córdoba,Córdoba,Full Time,1682108,Satisfactorio,No,2024-07-15,1966-08-08,
EMP-0035,Valentina ,Martinez,Femenino,OLGA,Corporativo,Logística,Coordinador de Depósito,Terciario,Buenos Aires,La Plata,Full Time,2868820,Necesita mejorar,No,2020-01-20,2001-07-30,
EMP-0036,Santino Nicolas,Garcia,Femenino,OLGA,Tapados de Laburo,Contenido,Columnista,Universitario completo,Buenos Aires,San Isidro,Freelance,2541882,Excelente,Sí,2022-07-10,1979-08-05,
EMP-0037,Maria Emilia,Torres,Femenino,OLGA,Corporativo,Comercial,Account Manager,Universitario completo,Córdoba,Córdoba,Full Time,2661825,Muy Bueno,No,2021-04-19,1998-07-31,
EMP-0038,Felipe,Villalba,Femenino,LuzuTV,Corporativo,Comercial,Ejecutivo Comercial,Universitario completo,Córdoba,Córdoba,Part Time,2638228,Satisfactorio,No,2023-04-13,2004-07-29,
EMP-0039,Alma,Cabrera,Femenino,OLGA,Sería Increíble,Producción,Productor General,Universitario completo,Córdoba,Córdoba,Full Time,3153171,Necesita mejorar,No,2021-02-20,1992-08-01,
EMP-0040,Thiago,Moreno,Masculino,LuzuTV,Se Fue Larga,Edición,Editor de Video,Capacitaciones,Buenos Aires,San Isidro,Full Time,1893391,Satisfactorio,No,2021-09-03,1984-08-03,2025-03-06
EMP-0041,Santino Benjamin,Aguirre,Femenino,LuzuTV,Nadie Dice Nada,Contenido,Columnista,Universitario completo,Córdoba,Córdoba,Part Time,2194424,Satisfactorio,No,2023-08-05,1986-08-03,
EMP-0042,Nicolas,Sosa,Masculino,OLGA,Soñé Que Volaba,Producción,Productor Ejecutivo,Posgrado,Santa Fe,Santa Fe,Full Time,3831183,Satisfactorio,Sí,2022-05-19,1997-07-31,
EMP-0043,Santiago,Vega,Masculino,LuzuTV,Patria y Familia,Contenido,Conductor,Universitario completo,Santa Fe,Rosario,Full Time,3950168,Satisfactorio,Sí,2023-02-19,1991-08-02,
EMP-0044,Juan Manuel,Garcia,Femenino,OLGA,Corporativo,Recursos Humanos,Coordinador RRHH,Posgrado,Córdoba,Córdoba,Full Time,3035438,Excelente,Sí,2022-11-27,1986-08-03,
EMP-0045,Julieta,Rodriguez,Femenino,LuzuTV,Corporativo,Marketing,Social Media Manager,Universitario completo,Mendoza,Mendoza,Full Time,3270560,Necesita mejorar,No,2023-08-05,2004-07-29,
EMP-0046,Maria Victoria,Cardozo,Masculino,LuzuTV,Corporativo,Logística,Operario de Depósito,Secundario,Córdoba,Córdoba,Full Time,1816528,Satisfactorio,No,2023-05-19,1999-07-31,
EMP-0047,Valentina ,Alvarez,Masculino,LuzuTV,Se Fue Larga,Contenido,Guionista,Universitario completo,Mendoza,Mendoza,Full Time,2700136,Satisfactorio,No,2025-05-10,2003-07-30,
EMP-0048,Priscila,Diaz,Femenino,OLGA,TDT,Producción,Asistente de Producción,Universitario en curso,Córdoba,Córdoba,Full Time,1479935,Debajo de lo esperado,Sí,2020-06-13,1996-07-31,
EMP-0049,Giovanni,Rojas,Masculino,LuzuTV,Corporativo,Administración,Analista Administrativo,Universitario completo,Córdoba,Córdoba,Part Time,2007086,Satisfactorio,Sí,2020-01-13,1967-08-08,
EMP-0050,Santino,Gimenez,Masculino,OLGA,Corporativo,Marketing,Content Manager,Universitario completo,Córdoba,Córdoba,Full Time,2899477,Muy Bueno,No,2022-04-29,1989-08-02,2025-03-08
EMP-0051,Lorenzo,Olivera,Masculino,OLGA,Corporativo,Administración,Analista Administrativo,Universitario completo,Mendoza,Mendoza,Full Time,2228909,Excelente,No,2020-05-25,1973-08-06,
EMP-0052,Juan Ignacio,Silva,Femenino,LuzuTV,Corporativo,Comercial,Analista Comercial,Universitario completo,Santa Fe,Rosario,Full Time,2290370,Excelente,Sí,2024-11-13,1978-08-05,
EMP-0053,Jeremias,Sanchez,Masculino,OLGA,Corporativo,Comercial,Account Manager,Universitario completo,Santa Fe,Santa Fe,Part Time,2842001,Muy Bueno,Sí,2024-09-09,1979-08-05,
EMP-0054,Victoria,Moyano,Masculino,OLGA,Tapados de Laburo,Edición,Editor de Video Senior,Terciario,Córdoba,Córdoba,Freelance,3115475,Necesita mejorar,No,2020-01-21,1994-08-01,
EMP-0055,Federico,Navarro,Femenino,OLGA,Corporativo,Logística,Operario de Depósito,Secundario,Santa Fe,Rosario,Full Time,1813199,Muy Bueno,No,2021-02-06,1997-07-31,
EMP-0056,Joaquin,Dominguez,Masculino,LuzuTV,Antes Que Nadie,Edición,Motion Graphics,Terciario,Mendoza,Mendoza,Full Time,2556740,Muy Bueno,Sí,2024-10-20,2002-07-30,2026-06-26
EMP-0057,Lucio,Garcia,Masculino,LuzuTV,Antes Que Nadie,Producción,Coordinador de Producción,Universitario completo,Mendoza,Mendoza,Full Time,3201499,Satisfactorio,No,2020-05-23,2003-07-30,2021-09-16
EMP-0058,Victoria,Romero,Masculino,OLGA,Corporativo,Finanzas,Controller,Posgrado,Buenos Aires,Avellaneda,Full Time,3728547,Satisfactorio,No,2021-03-06,1966-08-08,
EMP-0059,Olivia,Maldonado,Masculino,LuzuTV,Corporativo,Administración,Administrativo,Secundario,Mendoza,Mendoza,Full Time,1519488,Satisfactorio,No,2021-03-03,1993-08-01,
EMP-0060,Lucas,Ledesma,Masculino,OLGA,Corporativo,Marketing,Diseñador Gráfico,Universitario completo,Mendoza,Mendoza,Full Time,2245914,Necesita mejorar,No,2024-06-14,1997-07-31,2025-07-10
EMP-0061,Antonella,Ortiz,Femenino,OLGA,Sería Increíble,Edición,Motion Graphics,Terciario,Mendoza,Mendoza,Full Time,2109087,Excelente,Sí,2021-01-24,1969-08-07,
EMP-0062,Maia,Gomez,Femenino,LuzuTV,Patria y Familia,Producción,Asistente de Producción,Universitario en curso,Mendoza,Mendoza,Full Time,1607241,Satisfactorio,No,2024-08-16,1989-08-02,
EMP-0063,Benicio,Juarez,Masculino,LuzuTV,Corporativo,Datos,Data Analyst,Universitario completo,Buenos Aires,Vicente López,Full Time,1202140,Necesita mejorar,No,2023-05-09,1990-08-02,
EMP-0064,Antonia,Hernandez,Masculino,LuzuTV,Corporativo,Marketing,Diseñador Gráfico,Universitario completo,Buenos Aires,Quilmes,Part Time,2147995,Satisfactorio,No,2024-06-13,2000-07-30,
EMP-0065,Bautista,Romero,Femenino,OLGA,Soñé Que Volaba,Edición,Editor de Video Senior,Terciario,Santa Fe,Santa Fe,Full Time,2730462,Satisfactorio,No,2026-02-01,1973-08-06,
EMP-0066,Felipe,Aguero,Masculino,OLGA,Corporativo,Administración,Coordinador Administrativo,Universitario completo,Santa Fe,Rosario,Full Time,3369847,Excelente,No,2024-11-09,1983-08-04,
EMP-0067,Benjamin,Moreno,Femenino,OLGA,Soñé Que Volaba,Edición,Editor de Video Senior,Terciario,Santa Fe,Santa Fe,Full Time,2826490,Debajo de lo esperado,No,2026-06-26,1985-08-03,2030-05-09
EMP-0068,Camila,Lopez,Masculino,LuzuTV,Corporativo,Logística,Preparador de Pedidos,Secundario,Santa Fe,Rosario,Full Time,1508118,Excelente,No,2024-03-05,1976-08-05,
EMP-0069,Joaquin,Benitez,Masculino,OLGA,Tapados de Laburo,Contenido,Redactor,Universitario completo,Córdoba,Córdoba,Full Time,2207193,Necesita mejorar,No,2022-06-23,2003-07-30,
EMP-0070,Lola,Garcia,Femenino,OLGA,Tapados de Laburo,Producción,Asistente de Producción,Universitario en curso,Buenos Aires,CABA,Full Time,1451413,Satisfactorio,No,2026-01-15,1975-08-06,
EMP-0071,Lorenzo,Vega,Femenino,OLGA,Tapados de Laburo,Contenido,Redactor,Universitario completo,Buenos Aires,Avellaneda,Full Time,2085952,Necesita mejorar,No,2026-05-28,1970-08-07,
EMP-0072,Franco,Juarez,Femenino,OLGA,Corporativo,Marketing,Content Manager,Universitario completo,Córdoba,Córdoba,Full Time,3355354,Excelente,No,2022-03-23,2000-07-30,
EMP-0073,Lautaro,Castro,Masculino,OLGA,Soñé Que Volaba,Contenido,Columnista,Universitario completo,Buenos Aires,Avellaneda,Full Time,2394327,Necesita mejorar,No,2024-09-13,1977-08-05,
EMP-0074,Josefina,Blanco,Femenino,LuzuTV,Patria y Familia,Producción,Asistente de Producción,Universitario en curso,Córdoba,Córdoba,Full Time,1691973,Satisfactorio,No,2024-05-24,1998-07-31,
EMP-0075,Thiago Valentin,Torres,Femenino,OLGA,Tapados de Laburo,Producción,Asistente de Producción,Universitario en curso,Córdoba,Córdoba,Full Time,1602668,Excelente,No,2025-04-25,1996-07-31,
EMP-0076,Renzo,Martinez,Femenino,OLGA,TDT,Producción,Productor General,Universitario completo,Santa Fe,Rosario,Full Time,3389461,Satisfactorio,No,2021-10-15,1990-08-02,
EMP-0077,Juan Bautista,Rodriguez,Masculino,LuzuTV,Corporativo,Marketing,Social Media Manager,Universitario completo,Mendoza,Mendoza,Full Time,3113359,Muy Bueno,No,2023-05-09,1968-08-07,
EMP-0078,Ciro Benjamin,Fernandez,Masculino,LuzuTV,Corporativo,Recursos Humanos,Coordinador RRHH,Posgrado,Santa Fe,Santa Fe,Freelance,2803477,Debajo de lo esperado,No,2023-07-27,2000-07-30,
EMP-0079,Facundo,Gonzalez,Masculino,OLGA,Corporativo,Comercial,Account Manager,Universitario completo,Buenos Aires,Vicente López,Full Time,2429966,Muy Bueno,No,2026-04-23,2001-07-30,2028-01-27
EMP-0080,Geronimo,Acosta,Femenino,LuzuTV,Corporativo,Marketing,Diseñador Gráfico,Capacitaciones,Buenos Aires,La Plata,Freelance,2319487,Muy Bueno,Sí,2023-06-03,1993-08-01,
EMP-0081,Agustina,Perez,Femenino,OLGA,TDT,Producción,Asistente de Producción,Universitario en curso,Santa Fe,Rosario,Full Time,1478680,Satisfactorio,No,2020-10-29,1970-08-07,
EMP-0082,Alma,Gomez,Masculino,LuzuTV,Patria y Familia,Contenido,Redactor,Universitario completo,Santa Fe,Rosario,Full Time,2191831,Necesita mejorar,No,2022-08-05,1973-08-06,2025-06-10
EMP-0083,Felipe,Correa,Masculino,OLGA,Soñé Que Volaba,Producción,Asistente de Producción,Universitario en curso,Santa Fe,Santa Fe,Full Time,1578208,Necesita mejorar,No,2025-07-14,1998-07-31,
EMP-0084,Victoria,Villalba,Masculino,OLGA,Soñé Que Volaba,Producción,Productor Ejecutivo,Posgrado,Santa Fe,Rosario,Full Time,3907225,Satisfactorio,No,2024-07-13,1983-08-04,
EMP-0085,Emma,Diaz,Masculino,OLGA,Sería Increíble,Contenido,Redactor,Universitario completo,Santa Fe,Rosario,Full Time,2191066,Muy Bueno,No,2024-08-30,1975-08-06,
EMP-0086,Ramiro,Paz,Masculino,LuzuTV,Corporativo,Comercial,Analista Comercial,Universitario completo,Santa Fe,Rosario,Full Time,2627293,Necesita mejorar,No,2024-02-22,1969-08-07,
EMP-0087,Agustina,Lopez,Masculino,OLGA,Corporativo,Administración,Analista Administrativo,Universitario completo,Mendoza,Mendoza,Part Time,2154466,Satisfactorio,Sí,2023-10-24,1987-08-03,
EMP-0088,Benjamin,Rodriguez,Masculino,OLGA,Corporativo,Marketing,Content Manager,Universitario completo,Santa Fe,Santa Fe,Freelance,3278335,Satisfactorio,Sí,2020-09-01,2000-07-30,
EMP-0089,Luz Maria,Mansilla,Femenino,LuzuTV,Se Fue Larga,Edición,Editor de Video,Capacitaciones,Santa Fe,Rosario,Full Time,2075749,Satisfactorio,No,2025-12-18,1972-08-06,
EMP-0090,Lautaro Gabriel,Maldonado,Masculino,LuzuTV,Corporativo,Comercial,Ejecutivo Comercial,Universitario completo,Mendoza,Mendoza,Full Time,2786791,Satisfactorio,No,2021-12-03,1980-08-04,
EMP-0091,Abigail,Gomez,Masculino,OLGA,Corporativo,Administración,Analista Administrativo,Universitario completo,Córdoba,Córdoba,Freelance,2500242,Excelente,No,2026-05-27,1995-08-01,
EMP-0092,Malena,Fernandez,Masculino,OLGA,Sería Increíble,Contenido,Columnista,Universitario completo,Buenos Aires,Avellaneda,Full Time,2392111,Satisfactorio,No,2023-03-01,1987-08-03,
EMP-0093,Agustina,Paz,Femenino,LuzuTV,Se Fue Larga,Contenido,Conductor,Universitario completo,Buenos Aires,Quilmes,Full Time,3802689,Necesita mejorar,No,2022-02-09,1989-08-02,2023-05-21
EMP-0094,Lucio,Gomez,Masculino,OLGA,Tapados de Laburo,Producción,Productor General,Universitario completo,Mendoza,Mendoza,Full Time,3167531,Excelente,No,2025-07-06,1988-08-02,
EMP-0095,Maria Victoria,Guzman,Masculino,OLGA,Corporativo,Administración,Administrativo,Secundario,Mendoza,Mendoza,Freelance,1552103,Excelente,No,2020-07-09,1980-08-04,
EMP-0096,Vicente,Roldan,Femenino,OLGA,Corporativo,Comercial,Ejecutivo Comercial,Universitario completo,Santa Fe,Rosario,Full Time,2609281,Satisfactorio,No,2025-01-15,1975-08-06,
EMP-0097,Valentina,Sosa,Masculino,LuzuTV,Nadie Dice Nada,Producción,Coordinador de Producción,Universitario completo,Buenos Aires,Lanús,Full Time,2802624,Necesita mejorar,No,2024-04-07,1993-08-01,
EMP-0098,Pedro,Vera,Masculino,OLGA,Corporativo,Comercial,Account Manager,Universitario completo,Mendoza,Mendoza,Full Time,2374396,Satisfactorio,No,2024-03-24,1991-08-02,
EMP-0099,Bautista,Moreno,Femenino,OLGA,Soñé Que Volaba,Edición,Editor de Video,Terciario,Buenos Aires,Quilmes,Full Time,2004257,Muy Bueno,No,2021-04-30,1976-08-05,
EMP-0100,Benjamin,Lopez,Femenino,LuzuTV,Corporativo,Administración,Analista Administrativo,Universitario completo,Córdoba,Córdoba,Full Time,2588552,Satisfactorio,Sí,2021-03-12,1992-08-01,
EMP-0101,Thiago Nahuel,Peralta,Femenino,LuzuTV,Antes Que Nadie,Contenido,Conductor,Universitario completo,Mendoza,Mendoza,Freelance,3423888,Necesita mejorar,No,2026-01-08,2004-07-29,
EMP-0102,Paloma,Villalba,Femenino,LuzuTV,Se Fue Larga,Producción,Productor Ejecutivo,Posgrado,Córdoba,Córdoba,Full Time,3989192,Satisfactorio,No,2025-08-28,1998-07-31,
EMP-0103,Morena,Sanchez,Masculino,LuzuTV,Se Fue Larga,Contenido,Conductor,Universitario completo,Santa Fe,Santa Fe,Full Time,3967077,Necesita mejorar,Sí,2022-08-25,1998-07-31,
EMP-0104,Luciano Benjamin,Ramirez,Femenino,OLGA,Sería Increíble,Producción,Productor General,Universitario completo,Buenos Aires,Avellaneda,Full Time,3302459,Satisfactorio,No,2024-08-08,1997-07-31,
EMP-0105,Santiago,Garcia,Masculino,LuzuTV,Corporativo,Finanzas,Controller,Posgrado,Mendoza,Mendoza,Full Time,3664084,Necesita mejorar,No,2020-01-23,2002-07-30,
EMP-0106,Juan Manuel,Guzman,Masculino,OLGA,TDT,Contenido,Columnista,Universitario completo,Mendoza,Mendoza,Full Time,2536219,Debajo de lo esperado,No,2020-09-10,1975-08-06,
EMP-0107,Jazmin,Lopez,Masculino,OLGA,Tapados de Laburo,Contenido,Redactor,Universitario completo,Buenos Aires,La Plata,Freelance,2080381,Satisfactorio,Sí,2024-11-21,2001-07-30,
EMP-0108,Mora,Gimenez,Masculino,LuzuTV,Corporativo,Marketing,Diseñador Gráfico,Universitario completo,Buenos Aires,Avellaneda,Full Time,2372577,Necesita mejorar,No,2020-08-24,1998-07-31,
EMP-0109,Jazmin,Lopez,Femenino,LuzuTV,Nadie Dice Nada,Producción,Coordinador de Producción,Universitario completo,Santa Fe,Rosario,Full Time,3294064,Muy Bueno,Sí,2025-07-11,1975-08-06,
EMP-0110,Antonella,Ojeda,Masculino,LuzuTV,Corporativo,Administración,Administrativo,Secundario,Córdoba,Córdoba,Full Time,1694771,Satisfactorio,Sí,2025-08-18,1969-08-07,
EMP-0111,Jeremias,Torres,Femenino,LuzuTV,Se Fue Larga,Contenido,Columnista,Universitario completo,Buenos Aires,La Plata,Freelance,2158798,Satisfactorio,Sí,2024-12-19,2003-07-30,
EMP-0112,Lorenzo,Alvarez,Masculino,LuzuTV,Patria y Familia,Producción,Productor Ejecutivo,Posgrado,Mendoza,Mendoza,Freelance,3648585,Muy Bueno,Sí,2024-04-30,1979-08-05,
EMP-0113,Juan Cruz,Diaz,Femenino,OLGA,Corporativo,Finanzas,Contador,Universitario completo,Mendoza,Mendoza,Freelance,2810668,Satisfactorio,No,2022-01-02,2000-07-30,
EMP-0114,Juana,Lopez,Masculino,LuzuTV,Antes Que Nadie,Producción,Asistente de Producción,Universitario en curso,Córdoba,Córdoba,Full Time,1469976,Excelente,No,2020-01-08,1984-08-03,
EMP-0115,Guillermina,Ramos,Masculino,LuzuTV,Corporativo,Comercial,Ejecutivo Comercial,Universitario completo,Mendoza,Mendoza,Part Time,2508007,Necesita mejorar,No,2026-04-16,1984-08-03,
EMP-0116,Nahuel,Gutierrez,Masculino,LuzuTV,Corporativo,Finanzas,Controller,Posgrado,Córdoba,Córdoba,Full Time,3574459,Satisfactorio,No,2020-10-06,1972-08-06,
EMP-0117,Mateo,Bustos,Masculino,OLGA,Corporativo,Comercial,Ejecutivo Comercial,Universitario completo,Córdoba,Córdoba,Full Time,2948317,Satisfactorio,Sí,2023-08-28,1972-08-06,
EMP-0118,Lautaro,Ruiz,Masculino,LuzuTV,Se Fue Larga,Contenido,Redactor,Universitario completo,Mendoza,Mendoza,Full Time,2243528,Satisfactorio,No,2020-01-24,1982-08-04,
EMP-0119,Guadalupe,Godoy,Femenino,LuzuTV,Nadie Dice Nada,Edición,Editor de Video,Capacitaciones,Buenos Aires,La Plata,Full Time,1980768,Satisfactorio,No,2024-04-11,1966-08-08,2025-10-11
EMP-0120,Francisco,Rodriguez,Femenino,OLGA,Soñé Que Volaba,Edición,Editor de Video,Capacitaciones,Buenos Aires,Avellaneda,Full Time,1984364,Necesita mejorar,No,2023-07-18,1971-08-07,
EMP-0121,Ana Paula,Rios,Masculino,LuzuTV,Nadie Dice Nada,Contenido,Conductor,Universitario completo,Buenos Aires,Vicente López,Full Time,3919119,Muy Bueno,Sí,2021-04-22,1983-08-04,
EMP-0122,Thiago Nahuel,Avila,Masculino,LuzuTV,Patria y Familia,Producción,Asistente de Producción,Universitario en curso,Mendoza,Mendoza,Full Time,1684449,Muy Bueno,No,2024-12-05,1978-08-05,
EMP-0123,Juan Bautista,Ramirez,Femenino,LuzuTV,Nadie Dice Nada,Contenido,Conductor,Universitario completo,Mendoza,Mendoza,Full Time,3559209,Necesita mejorar,No,2020-11-01,1986-08-03,
EMP-0124,Helena,Godoy,Masculino,OLGA,Corporativo,Administración,Coordinador Administrativo,Universitario completo,Buenos Aires,CABA,Full Time,3083043,Muy Bueno,No,2020-01-06,2000-07-30,
EMP-0125,Valentina ,Ramirez,Masculino,LuzuTV,Nadie Dice Nada,Producción,Productor Ejecutivo,Posgrado,Mendoza,Mendoza,Freelance,3896365,Satisfactorio,Sí,2021-05-18,1973-08-06,
EMP-0126,Ezequiel,Fernandez,Masculino,OLGA,Corporativo,Finanzas,Controller,Posgrado,Santa Fe,Santa Fe,Full Time,3478795,Debajo de lo esperado,Sí,2020-07-23,1973-08-06,
EMP-0127,Uma,Ponce,Femenino,OLGA,Corporativo,Marketing,Social Media Manager,Universitario completo,Santa Fe,Rosario,Full Time,2905532,Debajo de lo esperado,Sí,2024-06-06,1999-07-31,
EMP-0128,Renata,Velazquez,Masculino,LuzuTV,Patria y Familia,Edición,Editor de Video,Capacitaciones,Córdoba,Córdoba,Full Time,2454427,Necesita mejorar,No,2022-06-27,2003-07-30,
EMP-0129,Guillermina,Dominguez,Masculino,OLGA,Tapados de Laburo,Edición,Motion Graphics,Terciario,Buenos Aires,Avellaneda,Full Time,2593731,Excelente,No,2022-09-17,1982-08-04,
EMP-0130,Lucas,Soto,Femenino,LuzuTV,Se Fue Larga,Edición,Editor de Video Senior,Terciario,Buenos Aires,Lanús,Full Time,3082041,Necesita mejorar,No,2026-07-07,1991-08-02,
EMP-0131,Olivia,Farias,Masculino,LuzuTV,Nadie Dice Nada,Edición,Motion Graphics,Terciario,Córdoba,Córdoba,Full Time,2404658,Excelente,No,2026-05-07,1997-07-31,
EMP-0132,Priscila,Velazquez,Femenino,LuzuTV,Corporativo,Recursos Humanos,Recruiter,Universitario completo,Córdoba,Córdoba,Full Time,2234433,Muy Bueno,Sí,2024-10-01,2000-07-30,
